geonameid,name,asciiname,lat,lon,feature_class,feature_code,country,admin1,admin2,population,timezone
8207718,Ignatiki,Ignatiki,55.62592,27.57282,P,PPL,BY,07,,0,Europe/Minsk
8207719,Podlipki,Podlipki,55.61397,27.51839,P,PPL,BY,07,,0,Europe/Minsk
8207721,Kletov Dvor,Kletov Dvor,55.60165,27.57903,P,PPL,BY,07,,0,Europe/Minsk
8207722,Tomki,Tomki,55.59482,27.56807,P,PPL,BY,07,,0,Europe/Minsk
8207724,Yanovo,Yanovo,55.5965,27.49829,P,PPL,BY,07,,0,Europe/Minsk
8207725,Chepuki Vtoryye,Chepuki Vtoryye,55.56667,27.52854,P,PPL,BY,07,,0,Europe/Minsk
8207726,Chepuki Pervyye,Chepuki Pervyye,55.56921,27.54607,P,PPL,BY,07,,0,Europe/Minsk
8207727,Lyubinova,Lyubinova,55.57243,27.55,P,PPL,BY,07,,0,Europe/Minsk
8207728,Poznyaki,Poznyaki,55.56905,27.56159,P,PPL,BY,07,,0,Europe/Minsk
8207729,Zhmindino,Zhmindino,55.56447,27.55131,P,PPL,BY,07,,0,Europe/Minsk
8207730,Makhirovka,Makhirovka,55.55103,27.54532,P,PPL,BY,07,,0,Europe/Minsk
8207731,Galiyevshchina,Galiyevshchina,55.54148,27.51617,P,PPL,BY,07,,0,Europe/Minsk
8207732,Smolevtsy,Smolevtsy,55.53075,27.55473,P,PPL,BY,07,,0,Europe/Minsk
8207733,Motevki,Motevki,55.53301,27.51799,P,PPL,BY,07,,0,Europe/Minsk
8207734,Bobovshchina,Bobovshchina,55.51659,27.54682,P,PPL,BY,07,,0,Europe/Minsk
8207735,Zatish’ye,Zatish'ye,55.50621,27.53212,P,PPL,BY,07,,0,Europe/Minsk
8207737,Zori,Zori,55.5002,27.52364,P,PPL,BY,07,,0,Europe/Minsk
8207738,Kupchelevo,Kupchelevo,55.4958,27.53251,P,PPL,BY,07,,0,Europe/Minsk
8207739,Dubovka,Dubovka,55.4925,27.5482,P,PPL,BY,07,,0,Europe/Minsk
8207740,Koty,Koty,55.48203,27.50603,P,PPL,BY,07,,0,Europe/Minsk
8207741,Pilaty,Pilaty,55.46374,27.51093,P,PPL,BY,07,,0,Europe/Minsk
8207742,Zabor’ye,Zabor'ye,55.46766,27.56379,P,PPL,BY,07,,0,Europe/Minsk
8207743,Bordentsy,Bordentsy,55.45564,27.54434,P,PPL,BY,07,,0,Europe/Minsk
8207744,Pravdinskaya,Pravdinskaya,55.45615,27.52509,P,PPL,BY,07,,0,Europe/Minsk
8207745,Kadrishki,Kadrishki,55.44423,27.52664,P,PPL,BY,07,,0,Europe/Minsk
8207746,Boguta,Boguta,55.42485,27.5167,P,PPL,BY,07,,0,Europe/Minsk
8207747,Gurki,Gurki,55.40927,27.53493,P,PPL,BY,07,,0,Europe/Minsk
